id_contacto,id,telefono,correoelec,www
1,8320509,#N/A,#N/A,#N/A
2,8838283,#N/A,JUANITA.ROMAN@ABULONES.MX,WWW.ABULONESCULTIVADOS.COM
3,6166487,#N/A,NORITA95@LIVE.COM,#N/A
4,8346295,6462109444,RHUMANOS@2MARES.COM.MX,#N/A
5,9323240,#N/A,NMARTINEZ@ALM.COM.MX,#N/A
6,6166344,#N/A,WWW.AGROMARISMA@HOTMAIL.COM,#N/A
7,9938978,#N/A,#N/A,#N/A
8,10676525,#N/A,#N/A,#N/A
9,6166273,#N/A,CONTABILIDAD@ALGASFACIFIC.COM,#N/A
10,10399786,#N/A,CONTAB@ABCOTTON.COM.MX,#N/A
11,11650226,#N/A,#N/A,#N/A
12,6762603,#N/A,#N/A,#N/A
13,8130649,#N/A,MLOZANO@BAJAPK.COM.MX,#N/A
14,6166311,6161076019,#N/A,#N/A
15,8345681,6462119297,APINCANTU@HOTMAIL.COM,#N/A
16,8901346,6462101629,BISMARKDELSUR@HOTMAIL.COM,#N/A
17,9045957,#N/A,CPMIGUELMEZA@HOTMAIL.COM,#N/A
18,9401810,#N/A,ANDRES.GUTIERREZ@BAJAAQUAFARMS.MX,BAJAAQUAFARMS.COM
19,11032940,#N/A,#N/A,#N/A
20,9585470,#N/A,#N/A,#N/A
21,7633673,#N/A,TYTT@PRODIGY.NET.MX,#N/A
22,6726612,#N/A,MLOZANO@BAJAPK.COM.MX,#N/A
23,6752874,6461507816,BAJAREFF@GMAIL.COM,#N/A
24,6166503,6161070125,ADRIANBAHA.811011@GMAIL.COM,#N/A
25,8901366,6161117006,#N/A,#N/A
26,6166471,#N/A,BUZOSYPESCADORESESTEBANCANTU@HOTMAIL.COM,#N/A
27,11126552,6646260430,CONTACTO@CAINDUSTRIAL-WEB.COM,WWW.CA-INDUSTRIAL.COM
28,6184309,#N/A,#N/A,#N/A
29,10660943,6865704617,#N/A,#N/A
30,10319698,#N/A,#N/A,#N/A
31,10313174,6865645151,#N/A,#N/A
32,10757021,#N/A,BAJAFISHTECATE@GMAIL.COM,#N/A
33,9045986,#N/A,CORP.ATUNEROSDEENSENADA@HOTMAIL.COM,#N/A
34,6166434,6461136184,#N/A,CULTIVADORESQMSN.COM
35,9338118,#N/A,CYLOZAMORA@GRUPOCYLO.MX,WWW.GRUPOCYLO.MX
36,10810400,#N/A,#N/A,#N/A
37,6166287,#N/A,DENEBOLASA@YAHOO.COM.MX,#N/A
38,6283195,#N/A,JSANTANA@ABCOTTON.COM.MX,#N/A
39,6166387,#N/A,#N/A,#N/A
40,6166490,#N/A,DESIERTOMATOMI@HOTMAIL.COM,#N/A
41,128060,#N/A,DAVIDSALAZAR232519@GMAIL.COM,#N/A
42,9306801,#N/A,CPMIGUELMEZA@HOTMAIL.COM,#N/A
43,8789503,#N/A,CPMIGUELMEZA@HOTMAIL.COM,#N/A
44,9720454,#N/A,#N/A,#N/A
45,7005046,#N/A,#N/A,#N/A
46,6166461,6461162215,#N/A,#N/A
47,6166464,#N/A,ERIPAC@YAHOO.COM,#N/A
48,11384086,#N/A,#N/A,#N/A
49,10627679,6657991936,#N/A,#N/A
50,6166327,#N/A,#N/A,#N/A
51,9577027,#N/A,#N/A,#N/A
52,10553649,6641790480,#N/A,#N/A
53,9435972,#N/A,RAUL.ARANDA@GROWERS.COM.MX,HTTP:WWW.GNPRODUCTORES.NETCONTACTO
54,9223515,#N/A,GHERNANDEZ@TACNA.NET,#N/A
55,8789612,6461995529,#N/A,#N/A
56,8838347,6643689702,GMPROVEMAR@GMAIL.COM,#N/A
57,8251137,6161184984,#N/A,#N/A
58,10668992,6462016001,#N/A,#N/A
