localidad,cve_loc
Ensenada                                                                                                      ,1
Alisitos                                                                                                      ,2
ABC (Los Canelos) [Empaque]                                                                                   ,3
Buenavista                                                                                                    ,6
El Campito                                                                                                    ,8
Campo López                                                                                                   ,10
Los Hermanos                                                                                                  ,15
Brisamar [Campo]                                                                                              ,16
El Bajío                                                                                                      ,17
Bahía de los Ángeles                                                                                          ,22
Campo César                                                                                                   ,24
Santa Anita                                                                                                   ,25
Cañada Verde                                                                                                  ,26
Misión del Mar 1ra. y 2da. Sección                                                                            ,28
Costa Bella                                                                                                   ,31
Campo Ocotillos                                                                                               ,32
Cuenca Lechera                                                                                                ,34
Gaviotas [Curios]                                                                                             ,35
El Descanso                                                                                                   ,36
Colonia Morelos                                                                                               ,37
Camalú                                                                                                        ,40
Campo Daggets                                                                                                 ,43
Cimarrón [Campo]                                                                                              ,47
Cinco Islas [Campo]                                                                                           ,48
Campo Lobo                                                                                                    ,49
La Fonda [Campo Turístico]                                                                                    ,51
Cristina [Campo]                                                                                              ,59
Crucero Valle de la Trinidad (El Oasis)                                                                       ,60
Kilómetro Cuarenta y Uno y Medio                                                                              ,61
Ladrillera Pescador                                                                                           ,64
Cataviña                                                                                                      ,68
Ejido Plan Nacional Agrario                                                                                   ,69
El Médano                                                                                                     ,73
Medio Camino                                                                                                  ,74
Misión Viejo                                                                                                  ,75
El Morro                                                                                                      ,76
Cielito Lindo                                                                                                 ,77
El Morro Kilómetro Treinta y Ocho                                                                             ,78
Colonia Benito Juárez                                                                                         ,79
Colonia Concordia                                                                                             ,80
Colonia Llamas                                                                                                ,81
Colonia Lomas de San Ramón (Triquis)                                                                          ,82
Rancho Evelia                                                                                                 ,83
Playas la Misión                                                                                              ,84
Colonia Nueva Era                                                                                             ,85
Popotla                                                                                                       ,86
Paso del Águila                                                                                               ,89
Puerto Nuevo                                                                                                  ,90
Cristo por su Mundo [Orfanatorio]                                                                             ,92
Ejido Eréndira                                                                                                ,95
Don Diego [Posada]                                                                                            ,99
Ejido Licenciado Adolfo López Mateos                                                                          ,103
Don Pancho (Villa Pacífico)                                                                                   ,104
La Rumorosa                                                                                                   ,107
Colonia Venustiano Carranza (La Carranza)                                                                     ,110
Vicente Guerrero (Algodones)                                                                                  ,111
Ejido General Leandro Valle                                                                                   ,112
Francisco Zarco (Valle de Guadalupe)                                                                          ,114
Ejido José María Morelos y Pavón                                                                              ,115
Ejido Lic. Luis Echeverría Álvarez (Chula Vista)                                                              ,116
Ejido Mesa de San Jacinto                                                                                     ,117
Ejido Nueva Odisea (El Pabellón)                                                                              ,118
Ejido Papalote                                                                                                ,121
Ejido Profesor Graciano Sánchez                                                                               ,122
Isla de Cedros                                                                                                ,124
Ejido San Simón de Arriba                                                                                     ,125
Ejido Valle Tranquilo                                                                                         ,126
Ejido Villa Jesús María                                                                                       ,127
Colonia Castro                                                                                                ,129
El Testerazo                                                                                                  ,131
El Barril                                                                                                     ,134
Las Delicias                                                                                                  ,137
Rodolfo Sánchez Taboada (Maneadero)                                                                           ,139
La Poma [Campo]                                                                                               ,140
Ejido Tamaulipas (Estación Cucapah)                                                                           ,141
Las Encantadas [Campo]                                                                                        ,145
El Chamizal [Rancho]                                                                                          ,150
La Misión                                                                                                     ,151
Los Amigos [Campo]                                                                                            ,153
Luis Echeverría Álvarez (El Hongo)                                                                            ,155
Los Delfines [Campo]                                                                                          ,156
Delta (Estación Delta)                                                                                        ,159
Rancho Santini                                                                                                ,160
Ejido Monterrey (Colonia Batáquez)                                                                            ,161
Terrazas del Mar                                                                                              ,162
De Raúl [Centro Turístico]                                                                                    ,163
Ejido Durango                                                                                                 ,169
Mineral Real de Ángeles                                                                                       ,175
El Faro                                                                                                       ,176
Coronel Esteban Cantú                                                                                         ,184
Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)                                                         ,185
Ejido Punta Colnett (Punta Colonet)                                                                           ,186
Octavios [Campo]                                                                                              ,188
Real del Castillo Nuevo (Ojos Negros)                                                                         ,190
Ejido Hermosillo                                                                                              ,192
Terrazas del Pacífico                                                                                         ,193
Venustiano Carranza                                                                                           ,194
Ejido Miguel Hidalgo                                                                                          ,195
Marena [Club]                                                                                                 ,196
Martín Cuevas                                                                                                 ,197
Playa de Oro                                                                                                  ,202
Ejido Jalisco                                                                                                 ,203
Ejido Jiquilpan                                                                                               ,206
Puestas del Sol                                                                                               ,207
Rancho Concordia                                                                                              ,209
Colonia Ladrillera                                                                                            ,210
Ejido Lázaro Cárdenas (La Mosca)                                                                              ,211
Poblado Lázaro Cárdenas (La Veintiocho)                                                                       ,212
Los Volcanes                                                                                                  ,218
El Refugio                                                                                                    ,219
Puertecitos                                                                                                   ,220
Punta Bufeo [Campo Turístico]                                                                                 ,221
Río Misión                                                                                                    ,222
El Rincón                                                                                                     ,223
El Rosario de Abajo                                                                                           ,224
Punta Final (Villa Mar y Sol)                                                                                 ,225
Ejido Sinaloa (Estación Kasey)                                                                                ,227
Vista Marina                                                                                                  ,230
Ciudad Morelos (Cuervos)                                                                                      ,231
RV Park el Cachanilla                                                                                         ,234
Nuevo León                                                                                                    ,237
Santa Isabel del Mar                                                                                          ,238
Lomas del Morro                                                                                               ,241
Mar de Calafia                                                                                                ,242
San Vicente                                                                                                   ,243
Ninguno                                                                                                       ,244
Las Flores                                                                                                    ,246
El Sauzal de Rodríguez                                                                                        ,247
Emiliano Zapata                                                                                               ,248
El Refugio                                                                                                    ,249
Ejido Pátzcuaro                                                                                               ,251
Serena [Campo]                                                                                                ,254
Estación Pescaderos (Kilómetro Treinta y Nueve)                                                               ,256
Ejido Plan de Ayala                                                                                           ,258
Colonia Pólvora                                                                                               ,259
Familia Mata                                                                                                  ,260
Ventana del Mar                                                                                               ,261
Las Margaritas                                                                                                ,262
Colonia la Puerta                                                                                             ,266
Villas Mar de Cortez (Rancho Grande)                                                                          ,267
Ejido Hechicera                                                                                               ,268
