id_direccion,id_cliente,id_tipo_vial,id_nom_vial,id_tipo_vial1,id_nom_vial1,id_tipo_vial2,id_nom_vial2,id_tipo_vial3,id_nom_vial3,numero_ext,numero_int,id_tipo_asent,id_nombre_asent,cod_postal
1,8320509,7,12280,7,12280,7,12280,7,12280,0,#N/A,13,2322,21840
2,8838283,7,10833,7,16536,7,5345,7,14807,366,#N/A,8,4480,#N/A
3,6166487,18,12280,18,12280,18,12280,18,12280,0,#N/A,8,4807,#N/A
4,8346295,7,16179,7,15284,7,2432,5,188,0,#N/A,13,4003,#N/A
5,9323240,10,395,#N/A,1,#N/A,1,#N/A,11074,0,0,8,922,#N/A
6,6166344,7,8928,7,15920,7,16519,7,14563,284,3,8,3426,22890
7,9938978,5,13225,23,6638,7,6638,5,13225,406,10,16,3733,22890
8,10676525,7,11511,7,12280,7,12280,7,11511,,#N/A,13,2311,21620
9,6166273,23,15010,7,13034,5,11528,7,6638,1034,#N/A,8,1138,#N/A
10,10399786,6,87,6,87,6,10109,6,87,1590,#N/A,8,1729,21090
11,11650226,7,12280,7,12280,7,10922,5,10312,0,#N/A,3,4397,22910
12,6762603,5,16278,7,9532,7,16519,5,2275,191,#N/A,8,3426,22830
13,8130649,7,12280,5,14761,7,12280,7,12280,,#N/A,13,4267,#N/A
14,6166311,7,16170,7,12281,7,12280,7,12281,0,0,13,3166,#N/A
15,8345681,7,16519,5,5209,5,14548,7,15920,0,#N/A,13,1129,22794
16,8901346,7,2794,#N/A,12280,#N/A,12280,#N/A,12280,2367,0,8,3126,22859
17,9045957,5,12280,24,12280,7,13730,24,12280,0,0,8,1035,22760
18,9401810,7,8,19,11095,18,11095,18,12280,1,#N/A,8,#N/A,#N/A
19,11032940,5,13225,23,6638,7,6638,5,13225,406,10,16,3733,22890
20,9585470,9,7156,5,13190,5,16839,5,6952,0,#N/A,16,4183,21280
21,7633673,5,14760,7,12280,7,13730,#N/A,12798,,#N/A,8,3075,22790
22,6726612,7,12280,7,12280,7,14761,10,9687,0,#N/A,8,3077,#N/A
23,6752874,7,7960,7,6175,7,16440,7,17757,280,0,8,4784,#N/A
24,6166503,7,16021,7,12280,7,12280,7,12280,156,#N/A,16,4356,#N/A
25,8901366,5,1599,7,5345,7,10641,5,208,301,#N/A,8,4825,22992
26,6166471,10,16519,10,6536,7,16966,7,16021,10,10,13,1129,22791
27,11126552,7,4117,7,11575,7,16955,7,15449,9502,#N/A,8,4386,22185
28,6184309,7,17771,5,4,5,4,5,4,95,0,8,4726,21395
29,10660943,9,10994,5,15615,5,15519,7,15569,0,#N/A,8,4323,21000
30,10319698,5,11184,9,4700,7,6529,5,11116,0,#N/A,8,4532,21850
31,10313174,7,10743,7,14150,5,13237,7,15121,1755,#N/A,8,2391,21290
32,10757021,10,16648,7,16545,7,16545,7,16545,113,#N/A,29,1122,#N/A
33,9045986,6,16464,6,10109,18,86,18,11095,96,0,8,#N/A,#N/A
34,6166434,7,15560,6,13497,5,10068,7,6529,187,#N/A,16,221,#N/A
35,9338118,22,208,7,12,7,13,22,208,1193,#N/A,8,#N/A,#N/A
36,10810400,6,5387,7,14907,6,625,5,15084,9730,#N/A,16,4188,22015
37,6166287,7,11,5,989,5,11907,7,12,285,6,8,#N/A,#N/A
38,6283195,18,12832,18,16552,7,12280,7,12280,0,#N/A,8,3480,#N/A
39,6166387,5,441,7,8642,7,9320,7,989,,#N/A,8,4807,21739
40,6166490,7,9194,7,16715,7,6529,5,11177,883,#N/A,27,4318,21850
41,128060,7,15413,7,15826,5,2004,7,15695,107,#N/A,8,1608,22630
42,9306801,9,17546,7,16172,7,6649,7,12482,,#N/A,8,1625,22760
43,8789503,7,3479,7,6649,7,16848,7,12482,0,0,8,5066,22760
44,9720454,5,9610,7,15920,7,5013,5,9658,408,#N/A,8,2927,22760
45,7005046,7,6166,7,17245,7,5947,7,5172,0,0,19,3075,22790
46,6166461,7,15560,7,2203,7,6529,6,6686,51,#N/A,16,221,22830
47,6166464,7,604,7,2338,7,3801,7,6568,155,#N/A,8,3678,22760
48,11384086,7,12280,7,12280,7,9630,7,12280,0,#N/A,16,800,22910
49,10627679,7,11617,5,5224,5,9363,7,17353,200,#N/A,8,292,21430
50,6166327,7,14760,7,12280,7,12280,7,12280,0,0,5,1680,22991
51,9577027,5,12921,6,5382,7,7236,6,12679,10000,#N/A,20,3091,22320
52,10553649,22,15336,7,6264,7,11301,7,15560,20550,#N/A,8,625,22200
53,9435972,18,12835,5,12280,5,12280,5,12280,0,0,8,1675,22904
54,9223515,7,4244,7,10683,18,13583,7,12280,1,#N/A,19,4072,#N/A
55,8789612,7,6639,7,7197,7,420,7,12510,232,0,8,#N/A,#N/A
56,8838347,7,12280,7,12280,7,16464,7,12280,1249,1,8,#N/A,#N/A
57,8251137,7,3832,7,12280,7,12280,7,12280,0,#N/A,29,#N/A,#N/A
58,10668992,7,2837,7,12310,7,11083,22,11085,321,398,8,2179,22850
59,123184,7,4012,22,12280,7,4012,22,4012,210,#N/A,8,763,22035
60,9439358,#N/A,15561,#N/A,12280,#N/A,12280,#N/A,12280,0,0,19,722,22965
61,7863369,5,5905,7,16847,5,556,5,7847,109,0,16,3724,22880
62,9499001,6,441,7,12280,9,3767,6,444,816,#N/A,26,1098,21218
63,9046053,5,4427,7,16519,7,5348,5,11095,390,16,8,4480,22800
64,6166426,#N/A,90,#N/A,12280,#N/A,12280,#N/A,12280,0,0,#N/A,3823,22710
65,6166473,7,165,19,12280,23,12280,#N/A,12280,240,0,13,4264,22793
66,6166370,7,4966,7,16858,7,4860,#N/A,12280,223,0,8,2617,22810
67,6166371,7,12280,7,16169,7,16168,7,16169,0,0,13,2521,22951
68,6166308,7,12280,5,12358,7,12280,7,12280,0,#N/A,13,3380,22970
69,100510,10,16804,10,16791,10,16791,6,17746,0,113,8,807,22890
70,6166298,5,15403,7,12362,7,6042,7,7442,962,9,8,#N/A,22800
71,10460175,5,11180,7,16715,7,6529,5,11142,278,#N/A,8,4478,21850
72,10445441,7,12280,7,10225,7,12280,7,12280,0,#N/A,6,3288,21960
73,6166454,7,9903,7,9965,7,9966,7,12280,365,#N/A,16,4765,#N/A
74,9450263,7,6447,5,14225,7,16626,7,6447,100,0,8,1623,22760
75,9045843,7,15105,7,15103,7,14905,7,1018,122,0,16,4765,22890
76,6166452,7,7033,7,15920,7,16519,7,6658,659,#N/A,8,#N/A,22800
77,6166268,7,819,7,14332,7,5345,7,7799,444,0,8,5125,#N/A
78,9223506,7,6448,7,16169,7,16169,7,16169,307,0,13,2147,#N/A
79,6739928,5,10066,10,6538,#N/A,12280,#N/A,12280,344,0,26,1623,22760
80,8853688,7,5006,11,12280,7,12280,7,13730,89,0,#N/A,3074,22760
81,10386036,5,7541,7,14959,7,15138,5,7620,964,#N/A,8,4438,21270
82,6166459,6,16172,#N/A,12280,#N/A,12280,#N/A,12280,187,0,8,#N/A,22800
83,8901388,7,8325,#N/A,16172,7,12280,#N/A,16172,403,0,15,2035,22785
84,6740777,7,1347,7,2640,7,3553,7,2640,624,#N/A,8,5035,#N/A
85,6166411,7,6448,18,12280,18,12280,18,12281,304,#N/A,13,3500,#N/A
86,7863371,7,5905,7,15920,7,16519,5,2431,1850,#N/A,8,2334,#N/A
87,9045932,7,9538,7,15536,7,15551,7,10109,1265,#N/A,24,4615,#N/A
88,8704365,10,9776,7,12280,7,12280,7,12280,,#N/A,13,1422,#N/A
89,100528,5,4609,7,9233,6,8683,5,16063,0,#N/A,19,4100,22770
90,8696208,7,208,7,208,7,17537,#N/A,12280,12,0,8,#N/A,22870
91,9046026,7,12280,24,12280,7,12280,#N/A,16172,0,0,26,1035,22760
92,9046042,7,15429,7,15978,7,12447,5,11907,724,0,6,#N/A,22760
93,6166272,5,7388,5,5997,6,566,5,7167,352,#N/A,16,510,22880
94,8011869,7,6529,7,7033,5,10068,7,3085,376,0,16,221,22890
95,9223512,7,12280,7,12280,7,12280,7,12280,,#N/A,8,4360,22893
96,9223507,7,12280,7,12280,7,12280,7,12280,,#N/A,13,2147,22906
97,8011851,7,11928,7,12280,7,12280,7,12280,0,0,5,271,22930
